,ISBN No.,Candidate Name,Candidate Designation,University,Candidate Title,Chapter Name,fChapter Name,Book Title,Publication Date,Publication Name
20,978-93-94707-12-2,Ms. Shikha Malik,Clinical Instructor,"KGMU College of Nursing, Lucknow, U.P.",Contributor,Health care Worker Immunization Program and management of occupational exposure,Health care Worker Immunization Program and management of occupational exposure,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
21,978-93-94707-12-2,Ms. Pamela Shalini Joseph,Assistant Professor,College of Nursing JNMCH AMU Aligarh India,Editor,NIL,NIL,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
22,978-93-94707-12-2,Ms. Sudha Gautam,Associate Professor,"Nursing College Mangalayatan University, Aligarh",Editor,NIL,NIL,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
23,978-93-94707-12-2,Ms. Tanima Verma,Nursing Tutor,"King George’s Medical University KGMU College of Nursing, Lucknow, U.P.",Editor,NIL,NIL,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
24,978-93-94707-12-2,Ms. Monica Nancy Lal,Nursing Tutor,"King George’s Medical University KGMU College of Nursing, Lucknow, U.P.",Editor,NIL,NIL,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
25,978-93-94707-12-2,Dr. Milka D. Madhale,Associate Professor,Arsi University Asella Oromia region Ethiopia,Editor,NIL,NIL,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
26,978-93-94707-12-2,Mr. Abhay Pattan,Associate Professor,"Parul Institute of Nursing, Parul University Vadodara, Gujarat, INIDA",Editor,NIL,NIL,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
27,978-93-94707-35-1,Dr. Sanjay Shinde,Msc. PhD Nursing Professor,"Sumandeep Nursing College, Sumandeep Vidyapeeth Deemed to be University Piparia, Vadodara, Gujarat",Author,NIL,NIL,APPLIED SOCIOLOGY,"Friday, November 25, 2022",Xoffencer International Publication
28,978-93-94707-35-1,Mr. Praful Damor,"B.Sc. Nursing, M.Sc. Nursing in Community Health Nursing, Working as Assistant professor","Parul Institute of Nursing, Parul University Vadodara, Gujarat, INIDA",Author,NIL,NIL,APPLIED SOCIOLOGY,"Friday, November 25, 2022",Xoffencer International Publication
29,978-93-94707-35-1,Ms. Nilima Vasava,"Assistant Professor, Nurse and Midwife","Parul Institute of Nursing, Parul University Vadodara, Gujarat, INIDA",Author,NIL,NIL,APPLIED SOCIOLOGY,"Friday, November 25, 2022",Xoffencer International Publication
30,978-93-94707-35-1,Mr. Milan Chauhan,"M.Sc Nursing in Community Health Nursing, Assistant professor","Parul Institute of Nursing, Parul University Vadodara, Gujarat, INIDA",Author,NIL,NIL,APPLIED SOCIOLOGY,"Friday, November 25, 2022",Xoffencer International Publication
31,978-93-94707-35-1,Mr. Anantkumar Patel,Assistant Professor,"Parul Institute of Nursing, Parul University Vadodara, Gujarat, INIDA",Author,NIL,NIL,APPLIED SOCIOLOGY,"Friday, November 25, 2022",Xoffencer International Publication
32,978-93-94707-43-6,Dr. Anita Prakasam,Principal/HOD/Professor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Oxygen Administration [oxygen cannula oxygen tent simple face mask],Oxygen Administration oxygen cannula oxygen tent simple face mask,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
33,978-93-94707-43-6,Ms. Amrit Preet Kaur,"Associate Professor, Community Health Nursing Department","Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Administration Of Oral Medication,Administration Of Oral Medication,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
34,978-93-94707-43-6,Mr. Rajesh P Joseph,HOD & Professor Child Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Assessment of Baby for Dehydration,Assessment of Baby for Dehydration,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
35,978-93-94707-43-6,Ms. Karthika S,"Assistant Professor, Community Health Nursing Department","Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Nutritional Assessment of Children,Nutritional Assessment of Children,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
36,978-93-94707-43-6,Dr. Sanjay Shinde,Professor Child Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,New-born Assessment,Newborn Assessment,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
37,978-93-94707-43-6,Mr. Saddam Hussain,Assistant Professor Community Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Assisting for Blood Transfusion,Assisting for Blood Transfusion,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
38,978-93-94707-43-6,Dr. Suresh V,HOD &Professor Mental Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,ABG- Analyzer,ABG Analyzer,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
39,978-93-94707-43-6,Ms. Pooja Kshatriya,Assistant Professor Medical Surgical Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Kangaroo Mother Care,Kangaroo Mother Care,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
40,978-93-94707-43-6,Dr. Vruti Patel,Associate Professor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Breast Feeding [Technique Positioning Counselling and Expression],Breast Feeding Technique Positioning Counselling and Expression,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
41,978-93-94707-43-6,Mr. Afsarkha Pathan,Assistant Professor Medical Surgical Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Restraints,Restraints,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
42,978-93-94707-43-6,Mr. Adithya S,HOD& Professor Community Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Anthropometric Assessment,Anthropometric Assessment,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
43,978-93-94707-43-6,Ms. Shital Patel,Assistant Professor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Cord Care,Cord Care,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
44,978-93-94707-43-6,Ms. Sonal Patel,HOD& Assistant Professor Medical Surgical Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Endotracheal tube Intubation or Suctioning,Endotracheal tube Intubation or Suctioning,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
45,978-93-94707-43-6,Ms. Pinal Darji,Assistant Professor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,New-born Resuscitation,Newborn Resuscitation,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
46,978-93-94707-43-6,Ms. Rupal Patel,Assistant Professor Child Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Care of Baby in Incubator,Care of Baby in Incubator,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
47,978-93-94707-43-6,Ms. Priyanka Solanki,Assistant professor Child Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Nasogastric tube Insertion,Nasogastric tube Insertion,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
48,978-93-94707-43-6,Ms. Ami Patel,MSc. Nursing Tutor Child Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Feeding of New-born [Spoon NG Parental],Feeding of Newborn Spoon NG Parental,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
49,978-93-94707-43-6,Ms. Bhoomika Patel,Assistant Professor Mental Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Baby bath,Baby bath,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
50,978-93-94707-43-6,Ms. Pinki Sharma,MSc. Nursing Tutor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Care of New-born in Radiant Warmer,Care of Newborn in Radiant Warmer,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
51,978-93-94707-43-6,Ms. Bhavisha Patel,Assistant Professor Mental Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Calculation of Fluid Requirement for Children,Calculation of Fluid Requirement for Children,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
52,978-93-94707-43-6,Ms. Angel Rathod,MSc. Nursing Tutor Medical Surgical Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Injection Technique. [IM IV SC ID],Injection Technique IM IV SC ID,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
53,978-93-94707-43-6,Ms. Sweety Rawal,Assistant Professor Mental Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Pulse Oximeter,Pulse Oximeter,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
54,978-93-94707-43-6,Ms. Akisha Chowhan,BSc. Nursing Tutor Mental Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Specimen Collection,Specimen Collection,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
55,978-93-94707-43-6,Ms. Zoya Ali,MSc. Nursing Tutor. Medical Surgical Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Temperature Recording in New-born,Temperature Recording in Newborn,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
56,978-93-94707-43-6,Ms. Devanshi Bhatt,BSc. Nursing Tutor Medical Surgical Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Nebulization Technique,Nebulization Technique,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
57,978-93-94707-43-6,Ms. Nilam Patel,MSc. Nursing Tutor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Care of Baby in Phototherapy,Care of Baby in Phototherapy,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
58,978-93-94707-43-6,Ms. Mittal Panchal,Assistant Professor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,IV Cannulation,IV Cannulation,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
59,978-93-94707-43-6,Ms. Prachi Patel,"BSc. Nursing Tutor, Mental Health Nursing Department","Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Contributor,Assessment of Gestational,Assessment of Gestational,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
60,978-93-94707-43-6,Dr. Anita Prakasam,Principal/HOD/Professor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Editor,NIL,NIL,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
61,978-93-94707-43-6,Dr. Sanjay Shinde,Professor Child Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Editor,NIL,NIL,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
62,978-93-94707-43-6,Dr. Suresh V,HOD &Professor Mental Health Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Editor,NIL,NIL,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
63,978-93-94707-43-6,Dr. Vruti Patel,Associate Professor Obstetrics & Gynaecological Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Editor,NIL,NIL,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
64,978-93-94707-43-6,Ms. Sonal Patel,HOD& Assistant Professor Medical Surgical Nursing Department,"Sumandeep Nursing College Sumandeep Vidyapeeth Deemed to be University, Piparia, Waghodia, Vadodara-391760",Editor,NIL,NIL,A COMPREHENSIVE MANUAL OF PEDIATRIC NURSING PROCEDURES,"Monday, January 2, 2023",Xoffencer International Publication
65,978-93-94707-34-4,Dr. V. Suresh Kumar,"Professor, Department of Information Technology","Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Avadi, Channai-600062",Author,NIL,NIL,DESIGNING SMART SYSTEM,"Friday, November 25, 2022",Xoffencer International Publication
66,978-93-94707-23-8,Prof. Raja Sarath Kumar Boddu,"B.E(Civil) M.Tech(CST) Ph.D.(AU) PGCDA-(IIM-V) Professor, Department of CSE","Principal Lenora College of Engineering, Rampachodavaram, Andhra Pradesh, India",Author,NIL,NIL,DATA EXPLORATION AND DATA PREPARATION PHASE,"Saturday, October 22, 2022",Xoffencer International Publication
67,978-93-94707-25-2,Prof. Raja Sarath Kumar Boddu,"B.E(Civil) M.Tech(CST) Ph.D.(AU) PGCDA-(IIM-V) Professor, Department of CSE","Principal Lenora College of Engineering, Rampachodavaram, Andhra Pradesh, India",Author,NIL,NIL,DATA SCIENCE AND STRUCTURAL ANALYSIS,"Saturday, October 22, 2022",Xoffencer International Publication
68,978-93-94707-24-5,Prof. Raja Sarath Kumar Boddu,"B.E(Civil) M.Tech(CST) Ph.D.(AU) PGCDA-(IIM-V) Professor, Department of CSE","Principal Lenora College of Engineering, Rampachodavaram, Andhra Pradesh, India",Author,NIL,NIL,IOT ANALYTIC LIFECYCLE AND TECHNIQUES,"Saturday, October 22, 2022",Xoffencer International Publication
69,978-93-94707-47-4,Dr. Zhao Yang,Assistant Professor,"Yichun University, China",Author,NIL,NIL,APOCALYPTIC POSTMODERN VISION IN THE SELECT NOVELS OF JOHN UPDIKE,"Friday, January 6, 2023",Xoffencer International Publication
70,978-93-94707-47-4,Ms. Long Na,Assistant Professor,"Yichun University, China",Author,NIL,NIL,APOCALYPTIC POSTMODERN VISION IN THE SELECT NOVELS OF JOHN UPDIKE,"Friday, January 6, 2023",Xoffencer International Publication
71,978-93-94707-50-4,Ms. Long Na,Assistant Professor,"Yichun University, China",Author,NIL,NIL,POLITICAL VISION IN THE RABBIT TETRALOGY OF JOHN UPDIKE,"Monday, January 9, 2023",Xoffencer International Publication
72,978-93-94707-50-4,Dr. Zhao Yang,Assistant Professor,"Yichun University, China",Author,NIL,NIL,POLITICAL VISION IN THE RABBIT TETRALOGY OF JOHN UPDIKE,"Monday, January 9, 2023",Xoffencer International Publication
73,978-93-94707-06-1,Dr. Aman Gupta,Assistant Professor,Shri JJT University,Author,NIL,NIL,ADMINISTRATIVE ECONIOMICS,"Friday, July 15, 2022",Xoffencer International Publication
74,978-93-94707-06-1,Dr. Santoshkumar C. Hangaragi,"M.A. M.Phil. Ph.D., Guest Faculty in Economics","Government First Grade College, Naubad, Bidar - 585401",Author,NIL,NIL,ADMINISTRATIVE ECONIOMICS,"Friday, July 15, 2022",Xoffencer International Publication
75,978-93-94707-06-1,Dr. Venkataramana N.,"M.A. M.Phil. Ph.D., Assistant Professor in Economics","Government Degree College, Sindhanur, Raichur Dist. (K.S.)",Author,NIL,NIL,ADMINISTRATIVE ECONIOMICS,"Friday, July 15, 2022",Xoffencer International Publication
76,978-93-94707-05-4,Dr. Aman Gupta,Assistant Professor,Shri JJT University,Author,NIL,NIL,BUSINESS ORGANIZATION & ENTREPRENEURSHIP,"Friday, July 15, 2022",Xoffencer International Publication
77,978-93-94707-05-4,Dr. Ravita Jain,"Assistant Professor, HOD Commerce (PG)","Saraswati Mahila Mahavidyalya, Palwal, Affiliated to MDU Rohtak",Author,NIL,NIL,BUSINESS ORGANIZATION & ENTREPRENEURSHIP,"Friday, July 15, 2022",Xoffencer International Publication
78,978-93-94707-05-4,Prof Jitendra Charan,,"Medi-Caps University, Indore",Author,NIL,NIL,BUSINESS ORGANIZATION & ENTREPRENEURSHIP,"Friday, July 15, 2022",Xoffencer International Publication
79,978-93-94707-16-0,Dr. Aman Gupta,Assistant Professor,Shri JJT University,Author,NIL,NIL,INDIAN FINANCIAL MARKET,"Friday, August 5, 2022",Xoffencer International Publication
80,978-93-94707-16-0,Dr. Arun Khatri,Professor,"JK Business School, Gurgaon",Author,NIL,NIL,INDIAN FINANCIAL MARKET,"Friday, August 5, 2022",Xoffencer International Publication
81,978-93-94707-16-0,Dr. Ahmad Murtaza Alvi,"Assistant Professor, College of Finance, Department of Business Administration","Saudi Electronic University, Saudi Arabia, Riyadh",Author,NIL,NIL,INDIAN FINANCIAL MARKET,"Friday, August 5, 2022",Xoffencer International Publication
82,978-93-94707-16-0,Prof. Ruchi Kushwah,,"Medi-Caps University, Indore",Author,NIL,NIL,INDIAN FINANCIAL MARKET,"Friday, August 5, 2022",Xoffencer International Publication
83,978-93-94707-53-5,Nitin Dixit,Assistant professor,"Institute of technology and management, Gwalior",Author,NIL,NIL,PYTHON-BASED MACHINE LEARNING AND DEEP LEARNING FOR NATURAL LANGUAGE PROCESSING,"Wednesday, February 22, 2023",Xoffencer International Publication
84,978-93-94707-53-5,Rakhi Arora,Assistant professor,"Institute of technology and management, Gwalior",Author,NIL,NIL,PYTHON-BASED MACHINE LEARNING AND DEEP LEARNING FOR NATURAL LANGUAGE PROCESSING,"Wednesday, February 22, 2023",Xoffencer International Publication
85,978-93-94707-53-5,Gaurav Dubey,Assistant professor,"Institute of technology and management, Gwalior",Author,NIL,NIL,PYTHON-BASED MACHINE LEARNING AND DEEP LEARNING FOR NATURAL LANGUAGE PROCESSING,"Wednesday, February 22, 2023",Xoffencer International Publication
86,978-93-94707-52-8,Dr. Shashi,"Assistant Professor, Department of Computer Application","Chaudhary Charan Singh University (Campus), Meerut",Author,NIL,NIL,PROPELLING BUSINESS WITH BLOCK CHAINS FUNDAMENTALS,"Wednesday, February 22, 2023",Xoffencer International Publication
87,978-93-94707-52-8,Anas M. Bashayreh,"Assistant Professor, Management and HRM ","Al Zahraa College for Women, Sultanate of Oman",Author,NIL,NIL,PROPELLING BUSINESS WITH BLOCK CHAINS FUNDAMENTALS,"Wednesday, February 22, 2023",Xoffencer International Publication
88,978-93-94707-52-8,Sailesh,Doctoral Research Scholar,Director of LNM Solutions,Author,NIL,NIL,PROPELLING BUSINESS WITH BLOCK CHAINS FUNDAMENTALS,"Wednesday, February 22, 2023",Xoffencer International Publication
89,978-93-94707-52-8,Ngoc Lien Le Tieu,Master's student in Banking and Finance,University of Economics and Law - Vietnam National University Ho Chi Minh City,Author,NIL,NIL,PROPELLING BUSINESS WITH BLOCK CHAINS FUNDAMENTALS,"Wednesday, February 22, 2023",Xoffencer International Publication
